GEO_ID,NAME,S2411_C01_001E
12001,"Alachua County, Florida",30767
12003,"Baker County, Florida",35074
12005,"Bay County, Florida",31082
12007,"Bradford County, Florida",32926
12009,"Brevard County, Florida",33190
12011,"Broward County, Florida",33905
12013,"Calhoun County, Florida",30834
12015,"Charlotte County, Florida",28870
12017,"Citrus County, Florida",28387
12019,"Clay County, Florida",35680
12021,"Collier County, Florida",31099
12023,"Columbia County, Florida",31544
12027,"DeSoto County, Florida",23201
12029,"Dixie County, Florida",31955
12031,"Duval County, Florida",34646
12033,"Escambia County, Florida",31456
12035,"Flagler County, Florida",29876
12037,"Franklin County, Florida",29920
12039,"Gadsden County, Florida",30965
12041,"Gilchrist County, Florida",27600
12043,"Glades County, Florida",29018
12045,"Gulf County, Florida",29113
12047,"Hamilton County, Florida",26524
12049,"Hardee County, Florida",25715
12051,"Hendry County, Florida",24111
12053,"Hernando County, Florida",31168
12055,"Highlands County, Florida",23997
12057,"Hillsborough County, Florida",35408
12059,"Holmes County, Florida",27270
12061,"Indian River County, Florida",29554
12063,"Jackson County, Florida",28081
12065,"Jefferson County, Florida",32510
12067,"Lafayette County, Florida",36550
12069,"Lake County, Florida",31381
12071,"Lee County, Florida",31112
12073,"Leon County, Florida",31500
12075,"Levy County, Florida",27323
12077,"Liberty County, Florida",33655
12079,"Madison County, Florida",26559
12081,"Manatee County, Florida",32078
12083,"Marion County, Florida",28524
12085,"Martin County, Florida",35001
12086,"Miami-Dade County, Florida",29960
12087,"Monroe County, Florida",35462
12089,"Nassau County, Florida",35939
12091,"Okaloosa County, Florida",32271
12093,"Okeechobee County, Florida",27935
12095,"Orange County, Florida",31482
12097,"Osceola County, Florida",26582
12099,"Palm Beach County, Florida",33806
12101,"Pasco County, Florida",35140
12103,"Pinellas County, Florida",34666
12105,"Polk County, Florida",31018
12107,"Putnam County, Florida",26233
12109,"St. Johns County, Florida",41788
12111,"St. Lucie County, Florida",29861
12113,"Santa Rosa County, Florida",35814
12115,"Sarasota County, Florida",33499
12117,"Seminole County, Florida",37820
12119,"Sumter County, Florida",27249
12121,"Suwannee County, Florida",27623
12123,"Taylor County, Florida",30109
12125,"Union County, Florida",32010
12127,"Volusia County, Florida",30679
12129,"Wakulla County, Florida",36480
12131,"Walton County, Florida",31580
12133,"Washington County, Florida",28462